resourceid,resourcename,resourceorganization,resourcetypeabbr,scheduledays,resourcetitle,ratecategory,step,rate_regular,rate_regular_night,rate_regular_sunday,rate_regular_sunday_night, rate_overtime, rate_overtime_night, rate_overtime_sunday_night
670-40-5105,"Danna, Melvin ES OFC",3,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
672-40-1244,"Kendall, Jonas ES OFC",3,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
684-74-4238,"Hernandez, Craig ES OFC",3,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
694-74-2572,"Porter, Marjorie ES OFC",3,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
709-21-7806,"Short, Oswaldo ES LT",3,PSS,Mon - Fri,Lieutenant,LE-5,9,49.76,54.74,62.2,67.18,74.64,79.62,92.06
712-03-1390,"Wilkinson, Orville ES OFC",3,RADIO,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
747-66-7576,"Avery, Bart ES OFC",3,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
751-93-3328,"Cooper, William ES OFC",3,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
759-70-5600,"Maohu, Betty ES OFC",3,Lead Advance,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
766-74-6032,"Mcdaneld, Joel ES OFC",3,RADIO,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
769-34-6051,"Remfert, Armando ES OFC/T",3,PSS,Mon - Fri,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
824-59-5165,"Huffman, Carlton ES SGT",3,PSS,Sat - Wed,Sergeant,LE-4,4,36.07,39.68,45.09,48.69,54.11,57.71,66.73
840-59-9608,"Crispen, Erica ES OFC",3,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
841-39-1403,"Lorenzo, Hal ES OFC",3,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
843-37-8528,"Lynn, Reed ES OFC",3,PSS,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
844-73-5981,"Milliren, Hubert ES OFC/T",3,PSS,Mon - Fri,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
873-59-8699,"Spradling, Suzanne ES OFC",3,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
893-89-3867,"Semler, Raul ES OFC",3,PSS,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
902-69-6789,"Prosise, Jayson ES OFC/T",3,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
911-72-4921,"Heikes, Reggie ES OFC",3,PSS,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
924-80-8598,"Delgado, Carlos ES OFC",3,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
932-73-2210,"Halton, Glen ES OFC",3,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
955-57-7429,"Hartman, Tonya ES OFC/T",3,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
963-43-9163,"Watson, Donald ES OFC",3,PSS,Wed - Sun,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
964-79-0918,"Morten, Roderick ES OFC",3,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
972-20-9137,"Vicory, Randy ES OFC",3,PSS,Sat - Wed,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
972-59-9790,"Hill, Chris ES OFC",3,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
972-84-4976,"Bishop, Donna ES OFC",3,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
984-28-6773,"Kratzer, Earl ES OFC",3,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
988-91-3849,"Vanscoter, Bennie ES OFC",3,INT,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
998-39-5328,"Raymond, Earl ES OFC",3,RADIO,Wed - Sun,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
010-24-4378,"Barra, Deborah ES OFC",4,RADIO,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
027-32-4222,"Grandfield, Nancy ES OFC",4,PSS,Wed - Sun,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
090-65-5431,"Campbell, Catherine ES OFC",4,PSS,Wed - Sun,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
159-63-9247,"Richardson, Joan ES OFC",4,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
182-53-5201,"Quitter, Reynaldo ES SGT",4,PSS,Mon - Fri,Sergeant,LE-4,10,47.08,51.79,58.85,63.56,70.62,75.33,87.1
203-90-3669,"Huson, Tim ES OFC",4,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
213-20-9172,"Acosta, Shayne ES OFC/T",4,INT,Sat - Wed,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
213-83-8617,"Faulkner, Devon ES OFC",4,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
234-53-5172,"Mayer, Clement ES OFC",4,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
257-72-2795,"Mccrane, Jerry ES OFC/T",4,PSS,Wed - Sun,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
259-43-2252,"Ramos, Amanda ES OFC",4,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
265-27-1074,"Tibbals, Ernie ES OFC/T",4,PSS,Wed - Sun,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
270-46-7085,"Wiggins, Ellsworth ES OFC",4,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
272-46-3925,"Boldul, Marco ES OFC",4,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
280-29-5583,"Young, Alan ES OFC",4,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
299-99-4815,"Coleman, Larry ES OFC",4,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
396-61-0765,"Taj, Ray ES OFC",4,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
432-69-6899,"Jones, Roy ES SGT",4,PSS,Mon - Fri,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
466-00-5523,"Mahoney, Dorian ES SGT",4,PSS,Mon - Fri,Sergeant,LE-4,8,43.41,47.75,54.26,58.61,65.12,69.46,80.31
476-43-6200,"Lester, Deon ES OFC/T",4,PSS,Mon - Fri,Officer/Tech,LE-1T,7,38.32,42.15,47.9,51.73,57.48,61.31,70.89
486-63-1265,"Kishimoto, Shawn ES OFC/T",4,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
488-43-4038,"Mcqueen, Chad ES SGT",4,PSS,Mon - Fri,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
494-33-4362,"Ford, Ryan ES OFC",4,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
496-45-4753,"Thompson, Donna ES OFC",4,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
498-20-1317,"Sandoval, Ben ES SGT",4,PHYS SEC LEAD,Wed - Sun,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
499-22-3742,"Garcelon, Vance ES OFC/T",4,PSS,Mon - Fri,Officer/Tech,LE-1T,11,45.09,49.6,56.36,60.87,67.64,72.14,83.42
510-12-9236,"Class, Grover ES OFC/T",4,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
522-49-5184,"Wheeler, Susan ES OFC",4,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
525-10-2261,"Getting, Bernardo ES OFC",4,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
529-10-2278,"Amr, Kathy ES OFC/T",4,RADIO,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
541-43-6461,"Beach, Pasquale ES OFC",4,PSS,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
546-37-5084,"Loxley, Guillermo ES OFC",4,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
553-65-2584,"Sumney, Stacy ES OFC",4,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
556-27-2187,"Jenkins, Wayne ES OFC",4,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
562-00-1531,"Kawata, Bernice ES OFC/T",4,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
573-50-3386,"Gomez, Thomas ES OFC",4,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
577-79-7495,"Montoya, Taylor ES OFC",4,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
619-95-8692,"Vawter, Pamela ES OFC",4,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
620-25-7409,"Leach, Abel ES OFC",4,PSS,Sat - Wed,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
621-52-6817,"Velasquez, Malcom ES OFC",4,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
629-51-6613,"Reifer, Reginald ES OFC",4,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
635-41-1683,"Lola, Anita ES OFC",4,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
639-20-7988,"Ortiz, Joseph ES OFC",4,Lead Advance,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
641-82-4814,"Quesnell, Sergio ES OFC",4,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
677-22-1189,"Klapperich, Gail ES OFC",4,RADIO,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
702-42-5967,"Dintino, Jay ES OFC",4,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
714-72-3306,"Baker, Gary ES SGT",4,PSS,Sat - Wed,Sergeant,LE-4,8,43.41,47.75,54.26,58.61,65.12,69.46,80.31
715-20-1868,"Spohn, Lucille ES SGT",4,PSS,Mon - Fri,Sergeant,LE-4,6,39.74,43.71,49.68,53.65,59.61,63.58,73.52
717-83-9508,"Salvo, Randolph ES OFC",4,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
730-34-6732,"Helferty, Renee ES SGT",4,PHYS SEC LEAD,Mon - Fri,Sergeant,LE-4,10,47.08,51.79,58.85,63.56,70.62,75.33,87.1
730-68-2787,"Mogg, Curt ES OFC/T",4,PSS,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
754-55-4327,"Trevino, Mack ES SGT/T",4,Lead Advance,Wed - Sun,Sergeant/Tech,LE-4T,4,38.24,42.06,47.8,51.62,57.36,61.18,70.74
769-45-5407,"Lynk, Bryant ES OFC",4,PSS,Wed - Sun,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
826-11-3231,"Chapman, Margaret ES OFC",4,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
844-98-9088,"Ernesto, Eva ES OFC",4,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
869-04-0821,"Mays, Ernie ES OFC",4,Lead Advance,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
874-54-0492,"Roman, Dana ES OFC",4,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
877-84-4668,"Christian, Olin ES OFC",4,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
912-33-6695,"Park, Jimmie ES OFC",4,PSS,Wed - Sun,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
946-16-1524,"Brannick, Matthew ES OFC",4,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
948-97-8605,"Phillips, Janet ES OFC",4,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
989-64-0051,"Cameron, Preston ES LT",4,PSS,Mon - Fri,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
014-25-1555,"Johnston, Paul ES OFC",5,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
015-39-2502,"Mullins, Jesus ES OFC",5,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
018-74-0206,"Martin, Sandra ES CPT",5,PSS,Mon - Fri,Captain,LE-7,10,56.97,62.67,71.21,76.91,56.97,62.67,76.91
031-38-5153,"Armas, Owen ES OFC",5,PSS,Wed - Sun,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
046-47-0507,"Avis, Danny ES SGT/T",5,PSS,Sat - Wed,Sergeant/Tech,LE-4T,8,46.02,50.62,57.52,62.12,69.02,73.62,85.13
091-96-9306,"Francis, Martin ES OFC",5,PSS,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
106-89-6581,"Sprowls, August ES OFC",5,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
121-52-7220,"Cannon, Gordon ES OFC",5,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
186-01-0255,"Halcomb, Vicente ES OFC",5,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
198-37-3279,"Laye, Bryce ES OFC",5,PSS,Sat - Wed,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
248-72-6047,"Albert, Issac ES OFC/T",5,PSS,Mon - Fri,Officer/Tech,LE-1T,2,29.87,32.86,37.34,40.32,44.81,47.79,55.26
286-19-4032,"Bassett, Danny ES LT",5,PSS,Mon - Fri,Lieutenant,LE-5,12,55.81,61.39,69.76,75.34,83.71,89.29,103.24
301-13-9497,"Ivey, Kenneth ES OFC",5,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
317-35-9442,"Hertzler, Gerardo ES OFC",5,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
339-17-5128,"Gabrielli, Gerard ES OFC",5,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
353-03-3063,"Greenwood, Louis ES OFC",5,PSS,Wed - Sun,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
402-79-8362,"Phillips, Stanley ES OFC",5,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
414-79-0489,"Malcomson, Robbie ES OFC/T",5,PSS,Mon - Fri,Officer/Tech,LE-1T,6,36.63,40.29,45.79,49.45,54.95,58.61,67.77
433-27-6011,"Cooley, Wiley ES OFC/T",5,PSS,Mon - Fri,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
462-37-1506,"Helton, Jeffery ES OFC",5,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
483-14-0864,"Tragesser, Esteban ES SGT",5,PSS,Mon - Fri,Sergeant,LE-4,10,47.08,51.79,58.85,63.56,70.62,75.33,87.1
492-86-1421,"Mcguire, Sally ES OFC",5,Lead Advance,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
497-55-3408,"Ress, Devon ES OFC",5,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
526-93-6321,"Nalevanko, Alejandro ES OFC",5,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
533-26-8292,"Amavisca, Vance ES OFC",5,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
535-03-8906,"Randall, Edna ES OFC",5,PSS,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
569-08-1587,"Sykora, Jackie ES OFC/T",5,PSS,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
602-13-0605,"Dean, Kathleen ES OFC",5,INT,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
626-48-0120,"Eaglen, Donna ES SGT",5,PSS,Mon - Fri,Sergeant,LE-4,4,36.07,39.68,45.09,48.69,54.11,57.71,66.73
631-58-9557,"Joyner, Fabian ES OFC",5,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
634-97-3542,"Baker, Earl ES OFC",5,PSS,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
637-63-5239,"Crockett, Dennis ES OFC",5,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
660-73-9056,"Marcom, Christine ES OFC",5,PSS,Wed - Sun,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
661-95-3389,"Floyd, Angel ES OFC",5,PSS,Wed - Sun,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
666-86-5857,"Hilovsky, Lyle ES OFC",5,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
678-86-9102,"Collins, Norman ES OFC",5,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
707-36-6341,"Bell, James ES OFC",5,PSS,Sat - Wed,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
738-24-4305,"Espinoza, Luke ES OFC",5,PHYS SEC LEAD,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
749-09-8661,"Richard, Alejandro ES OFC",5,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
766-52-1019,"Mann, Miguel ES OFC",5,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
788-29-3252,"Frauenfelder, Spencer ES OFC",5,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
800-14-3289,"Davis, Jennifer ES OFC",5,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
805-36-7146,"Willms, Douglas ES OFC",5,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
820-15-7747,"Hagner, Michelle ES OFC",5,RADIO,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
820-96-1037,"Carlsten, Rocco ES OFC",5,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
841-41-2757,"Dauzart, Rodger ES OFC",5,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
869-90-4602,"Clemons, Hollis ES OFC",5,PSS,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
875-15-3772,"Shrawder, Tracy ES OFC/T",5,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
879-32-9933,"Cook, James ES OFC",5,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
889-31-4187,"Torres, Kelly ES OFC",5,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
900-01-3775,"Morin, Kermit ES OFC/T",5,PSS,Wed - Sun,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
933-97-8566,"Zdenek, Bernard ES OFC",5,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
954-16-9742,"Felsenthal, Edmond ES SGT/T",5,RADIO,Mon - Fri,Sergeant/Tech,LE-4T,8,46.02,50.62,57.52,62.12,69.02,73.62,85.13
009-64-7039,"Ellison, Renaldo ES OFC",6,PSS,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
017-08-9099,"Umbright, Brenda ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
099-28-2188,"Majure, Rachel ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
146-88-2770,"Kalla, Jeff ES SGT",6,PSS,Mon - Fri,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
170-93-3912,"Martinis, Ethel ES OFC/T",6,PSS,Wed - Sun,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
180-45-7986,"Edwards, Joyce ES OFC/T",6,PSS,Wed - Sun,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
204-64-6517,"Sloan, Dorsey ES OFC",6,INT,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
208-41-4722,"Erven, Lorenzo ES OFC",6,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
306-69-2422,"Fritsch, Curtis ES OFC",6,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
338-45-7806,"Mcnary, Delbert ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
374-55-2497,"Lathim, Geraldine ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,10,43.39,47.73,54.24,58.58,65.09,69.42,80.27
396-47-4474,"Holt, Mark ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,1,28.18,31,35.23,38.04,42.27,45.09,52.13
402-35-2055,"Rodeheaver, Alice ES OFC",6,PSS,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
420-66-4542,"Bonne, Stewart ES LT",6,PSS,Sat - Wed,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
430-78-9716,"Landrith, Monty ES OFC",6,PSS,Wed - Sun,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
480-73-7066,"Green, Earl ES OFC",6,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
504-12-6980,"Jordan, Jimmy ES OFC",6,INT,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
532-19-1843,"Savant, Adolfo ES OFC/T",6,PSS,Wed - Sun,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
532-61-6131,"Juniel, Martha ES OFC",6,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
543-83-8230,"Herring, Jan ES OFC",6,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
563-48-0789,"Coram, Nicholas ES OFC",6,INT,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
579-72-6101,"Winter, Parker ES OFC",6,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
617-70-3354,"Deterding, Adrian ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,6,36.63,40.29,45.79,49.45,54.95,58.61,67.77
621-90-8306,"Hilbun, Cheryl ES OFC",6,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
641-54-7921,"Weyant, Tyrone ES OFC",6,PSS,Wed - Sun,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
652-01-5063,"Garrett, Reynaldo ES OFC",6,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
655-25-7355,"Richter, Ricky ES OFC",6,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
679-59-3635,"Orttenburger, Merrill ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,6,36.63,40.29,45.79,49.45,54.95,58.61,67.77
707-99-5972,"Bunson, Max ES OFC",6,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
776-74-4348,"Dunkan, Justin ES OFC",6,Lead Advance,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
788-39-0197,"Salvato, Corey ES OFC",6,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
829-05-0728,"Powers, Norman ES OFC/T",6,PSS,Mon - Fri,Officer/Tech,LE-1T,7,38.32,42.15,47.9,51.73,57.48,61.31,70.89
